000001,22CLC02,A,Vo,male,1/1/2000,100001
000002,22CLC02,B,Nguyen,male,2/1/2000,100002
000003,22CLC02,C,Le Thi,female,3/1/2000,100003
000004,22CLC02,D,Ho,male,4/1/2000,100004
000005,22CLC02,E,Tran,male,5/1/2000,100005
000006,22CLC02,F,Hong,female,6/1/2000,100006
000007,22CLC02,G,Vo,male,7/1/2000,100007
000008,22CLC02,H,Nguyen,male,8/1/2000,100008
000009,22CLC02,I,Le Thi,female,9/1/2000,100009
000010,22CLC02,G,Vo,male,10/1/2000,100010
000011,22CLC02,K,Nguyen,male,11/1/2000,100011
000012,22CLC02,L,Le Thi,female,12/1/2000,100012
000013,22CLC02,M,Vo,male,13/1/2000,100013
000014,22CLC02,N,Nguyen,male,14/1/2000,100014
000015,22CLC02,O,Le Thi,female,15/1/2000,100015
000016,22CLC02,P,Vo,male,16/1/2000,100016
000017,22CLC02,Q,Nguyen,male,17/1/2000,100017
000018,22CLC02,R,Le Thi,female,18/1/2000,100018
000019,22CLC02,S,Vo,male,19/1/2000,100019
000020,22CLC02,T,Nguyen,male,20/1/2000,100020
000021,22CLC02,U,Le Thi,female,21/1/2000,100021
000022,22CLC02,V,Vo,male,22/1/2000,100022
000023,22CLC02,W,Nguyen,male,23/1/2000,100023
000024,22CLC02,S,Le Thi,female,24/1/2000,100024
000025,22CLC02,Y,Vo,male,25/1/2000,100025
000026,22CLC02,Z,Nguyen,male,26/1/2000,100026
000027,22CLC02,Nam,Le Thi,female,27/1/2000,100027
000028,22CLC02,Khanh,Vo,male,28/1/2000,100028
000029,22CLC02,Ngoc,Nguyen,male,29/1/2000,100029
000030,22CLC02,Hanh,Le Thi,female,30/1/2000,100030
